id,create_uid,name,rounding,write_uid,uom_type,write_date,factor,active,create_date,category_id,afip_code
1,1,Unit(s),0.01,1,reference,7/16/18 21:14,1,TRUE,3/6/18 14:04,1,7
2,1,Dozen(s),0.01,1,bigger,7/16/18 21:14,0.083333333,TRUE,3/6/18 14:04,1,9
3,1,kg,0.001,8,reference,1/24/19 15:51,1,TRUE,3/6/18 14:04,2,1
5,1,Hour(s),0.01,1,smaller,3/6/18 14:08,8,TRUE,3/6/18 14:04,3,98
6,1,Day(s),0.01,1,reference,3/6/18 14:08,1,TRUE,3/6/18 14:04,3,98
9,1,km,0.01,1,bigger,3/6/18 14:08,0.001,TRUE,3/6/18 14:04,4,17
10,1,cm,0.01,1,smaller,3/6/18 14:08,100,TRUE,3/6/18 14:04,4,20
11,1,Liter(s),0.01,1,reference,3/6/18 14:08,1,TRUE,3/6/18 14:04,5,5
14,1,inch(es),0.01,1,smaller,3/6/18 14:08,39.3701,TRUE,3/6/18 14:04,4,98
15,1,foot(ft),0.01,1,smaller,3/6/18 14:08,3.28084,TRUE,3/6/18 14:04,4,98
16,1,mile(s),0.01,1,bigger,3/6/18 14:08,0.000621373,TRUE,3/6/18 14:04,4,98
19,1,gal(s),0.01,1,bigger,3/6/18 14:08,0.264172177,TRUE,3/6/18 14:04,5,98
20,1,6 Display 12u.,0.01,8,bigger,4/15/21 19:29,0.013888889,TRUE,3/6/18 17:15,1,7
21,1,Display Tripack,0.01,1,bigger,7/16/18 21:15,0.333333333,TRUE,3/6/18 17:15,1,7
22,1,Caja 96u.,0.01,1,bigger,7/16/18 21:15,0.010416667,TRUE,3/6/18 17:16,1,7
23,1,$,0.01,8,reference,5/31/19 16:18,1,TRUE,3/6/18 17:16,6,
25,1,Caja 60u.,0.01,1,bigger,7/16/18 21:15,0.016666667,TRUE,3/26/18 20:20,1,7
26,6,Caja 20u.,0.01,1,bigger,7/16/18 21:15,0.05,TRUE,5/28/18 20:35,1,
29,6,Caja 24u.,0.01,1,bigger,7/16/18 21:15,0.041666667,TRUE,5/28/18 20:36,1,
30,6,Pack x10u,0.01,1,bigger,7/16/18 21:14,0.1,TRUE,5/29/18 15:38,1,
31,1,Caja 7u.,0.01,1,bigger,7/16/18 21:15,0.142857143,TRUE,6/26/18 14:01,1,7
41,6,Caja 32u.,0.01,6,bigger,11/20/18 15:45,0.03125,TRUE,11/20/18 15:44,1,7
46,6,Caja 16u.,0.01,6,bigger,10/14/20 16:23,0.020833333,TRUE,5/15/19 17:19,1,7
47,8,$536 ,0.01,6,reference,8/27/19 14:12,1,FALSE,5/31/19 16:09,7,
48,8,247,0.01,6,reference,8/27/19 14:12,1,FALSE,5/31/19 16:13,7,
49,8,$247 ,0.01,6,reference,8/27/19 14:12,1,FALSE,5/31/19 16:13,7,
50,8,$204 ,0.01,6,reference,8/27/19 14:12,1,FALSE,5/31/19 16:13,7,
54,9,Caja 8u.,0.01,9,bigger,6/16/20 17:33,0.125,TRUE,6/16/20 17:33,1,7
55,7,Caja 60u.,0.01,7,reference,7/22/20 19:03,1,TRUE,7/22/20 19:03,7,
56,6,Caja 10u.,0.01,6,bigger,1/15/21 13:19,0.1,TRUE,1/15/21 13:18,1,7
57,9,"Caja granel 4,5kg",0.01,9,bigger,4/16/21 17:49,0.222222222,TRUE,4/16/21 17:42,1,
58,6,Pack x8,0.01,6,reference,4/28/21 14:16,1,TRUE,4/28/21 14:16,1,7
