id,create_uid,name,company_id,write_uid,currency_id,rate,write_date,create_date,inverse_rate
1,6,1/10/2019 16:48,1,6,3,1.1535,1/10/2019 16:48,1/10/2019 16:48,
2,6,1/10/2019 16:48,1,6,1,1,1/10/2019 16:48,1/10/2019 16:48,
3,1,4/22/2019 0:00,1,1,20,1,4/22/2019 13:52,4/22/2019 13:52,1
4,6,6/11/2019 16:22,1,6,3,0.021882,6/11/2019 16:22,6/11/2019 16:22,45.7
5,6,6/11/2019 16:44,1,6,3,0.022222,6/11/2019 16:44,6/11/2019 16:44,45
6,1,1/8/2019 3:02,1,1,3,0.027427,6/21/2019 19:03,6/21/2019 19:02,36.46
7,1,5/2/2020 0:00,1,1,20,1,12/14/2020 19:16,12/14/2020 19:16,1
8,1,12/14/2020 19:17,1,1,20,1,12/14/2020 19:17,12/14/2020 19:17,1
1,6,1/10/2019 16:48,1,6,3,1.1535,1/10/2019 16:48,1/10/2019 16:48,
2,6,1/10/2019 16:48,1,6,1,1,1/10/2019 16:48,1/10/2019 16:48,
3,1,4/22/2019 0:00,1,1,20,1,4/22/2019 13:52,4/22/2019 13:52,1
4,6,6/11/2019 16:22,1,6,3,0.021882,6/11/2019 16:22,6/11/2019 16:22,45.7
5,6,6/11/2019 16:44,1,6,3,0.022222,6/11/2019 16:44,6/11/2019 16:44,45
6,1,1/8/2019 3:02,1,1,3,0.027427,6/21/2019 19:03,6/21/2019 19:02,36.46
7,1,5/2/2020 0:00,1,1,20,1,12/14/2020 19:16,12/14/2020 19:16,1
8,1,12/14/2020 19:17,1,1,20,1,12/14/2020 19:17,12/14/2020 19:17,1
